user_id,order_id,channel,order_value,date
557267724728292293,1501451904,(direct),5.7,20170730
2199373686188473715,1501402144,google,4.99,20170730
873320659256976904,1501480779,google,27.6,20170730
8239546374178075911,1501475086,google,25.82,20170730
9391607314160932483,1501450021,(direct),110.75,20170730
3898563466459211162,1501440171,google,14.0,20170730
8540688286241364465,1501454901,google,24.29,20170730
4895430552956512702,1501425622,google,38.79,20170730
8825602309761363794,1501428286,(direct),78.54,20170730
1673188218512892503,1501425876,(direct),79.99,20170730
5816514381907176001,1501451104,google,43.38,20170730
4981679382824177253,1501437710,(direct),85.89,20170730
7757589561918883331,1501434657,google,99.99,20170730
15618322761092379,1501468003,(direct),43.35,20170730
1727715375435944327,1501451230,(direct),911.36,20170730
2422865366235727605,1501474532,google,81.47,20170730
3706266616666362685,1486713192,(direct),33.98,20170210
6755488962103472751,1486744677,(direct),79.19,20170210
1501789786482785393,1486777519,google,55.99,20170210
6495428628706870090,1486749987,(direct),611.7,20170210
6946322182542883504,1486738299,Partners,21.99,20170210
2928427849127448830,1486768971,(direct),19.99,20170210
5549135228417306285,1486755607,google,29.94,20170210
664885127935747173,1486724882,google,54.97,20170210
8322693232285500367,1486769443,(direct),59.85,20170210
5623565277433732918,1486754458,google,6.99,20170210
5826737021779185298,1486761497,(direct),19.99,20170210
1639589047263376521,1486796102,(direct),44.79,20170210
8219922685567782284,1486761532,(direct),27.18,20170210
1381431420028484439,1486760380,(direct),167.55,20170210
8943826077363330152,1486787010,google,18.99,20170210
286670465887517107,1486749591,(direct),39.99,20170210
3523546723004050529,1486741960,(direct),331.5,20170210
7813149961404844386,1486744738,(direct),814.28,20170210
5480664730921696819,1486754061,(direct),627.0,20170210
1490558553818530030,1486760080,(direct),170.34,20170210
9259412484953197672,1486753691,(direct),575.84,20170210
9642698057695067786,1486751439,(direct),903.19,20170210
611556253076247456,1486715541,(direct),144.29,20170210
9113512902535723065,1486756265,(direct),25.55,20170210
6260138912431019098,1473618683,google,23.49,20160911
7505608687492467483,1473585396,google,66.97,20160911
0674198499072575604,1473615548,(direct),71.74,20160911
8790696376081791158,1473600297,google,50.46,20160911
9000020020655117691,1473638927,(direct),50.84,20160911
5031234556107572838,1473645171,dfa,138.3,20160911
9725818592109154839,1473657036,(direct),41.29,20160911
1964064266327682396,1473632044,google,66.95,20160911
594563238977976970,1473604599,google,42.6,20160911
3183822495344470855,1473639678,(direct),63.82,20160911
604365545479003017,1473622827,(direct),120.46,20160911
776713032866720922,1473635708,(direct),41.19,20160911
8195906230937173122,1473635607,google,28.49,20160911
1596310256826367221,1473627384,google,43.98,20160911
7586960751046029408,1473604124,google,61.91,20160911
315017261115039181,1473618167,(direct),299.31,20160911
0020502892485275044,1473613244,(direct),0.77,20160911
4362809979067745350,1475789313,(direct),59.99,20161006
2352233424314349714,1475754805,(direct),41.59,20161006
7999024439305263613,1475778459,(direct),41.59,20161006
1637147905663688954,1475780232,(direct),239.7,20161006
0043984908262145271,1475774049,(direct),87.99,20161006
1642287207440792926,1475763406,(direct),39.99,20161006
67046950690742012,1475766920,(direct),59.87,20161006
668227072565326523,1475791910,(direct),111.98,20161006
7446797504335369892,1475786816,(direct),83.85,20161006
4796524276603786402,1475774109,(direct),38.98,20161006
4214259466202417480,1475744231,ask,11.49,20161006
6827048275264078810,1475764064,(direct),16.99,20161006
4636139656248532582,1475777532,(direct),105.53,20161006
7552495546342257467,1475776296,(direct),115.6,20161006
4478485114168698618,1475768041,(direct),81.97,20161006
6426645361872979743,1475768346,(direct),78.97,20161006
2644257335535694123,1475815303,(direct),13.59,20161006
987234935111855990,1475767963,(direct),41.79,20161006
8481378651104296608,1475805267,(direct),45.57,20161006
5348412778794343164,1475781240,(direct),79.15,20161006
8024330436349031408,1475798795,(direct),191.6,20161006
8610829181848499351,1475757183,(direct),143.77,20161006
4750281434233359843,1475769973,(direct),17.59,20161006
2768669822276347024,1475767252,(direct),53.58,20161006
420252480915406869,1475803047,(direct),99.96,20161006
280042180877582714,1475798435,(direct),4.99,20161006
062337808774510362,1475772766,(direct),499.03,20161006
435591376205999996,1475803180,(direct),55.98,20161006
4672677457109865399,1475800473,(direct),44.79,20161006
5241647858965846935,1475799987,(direct),50.46,20161006
9218024446277360910,1475804633,(direct),88.95,20161006
6268470999753210022,1475782296,(direct),327.0,20161006
7101537945987041306,1475787789,(direct),45.57,20161006
9530106606759874111,1481378660,(direct),16.99,20161210
6528190156383151299,1481375422,(direct),18.99,20161210
9279133350309970256,1481433326,(direct),10.99,20161210
0170940722150121590,1481400754,(direct),43.98,20161210
7940447523657179296,1481387474,yahoo,55.99,20161210
1773585151550770060,1481397709,(direct),19.99,20161210
5487175269492729703,1481374553,(direct),39.9,20161210
7203916420192282208,1481390301,(direct),15.99,20161210
0068546456225736307,1481400602,(direct),14.97,20161210
2316037784893459235,1481381557,(direct),21.99,20161210
9418685082988026045,1481438962,(direct),30.38,20161210
9418685082988026045,1481433903,(direct),41.59,20161210
0934250478833663076,1481390478,(direct),22.96,20161210
3158685951899841260,1481421597,(direct),19.19,20161210
5982288201667188670,1481384151,(direct),13.59,20161210
116430981904323422,1481403186,(direct),25.98,20161210
5345276565851241365,1481400642,(direct),79.19,20161210
700797453714688888,1481407916,(direct),55.99,20161210
0598117673403235855,1481396589,(direct),23.99,20161210
2416466435320363096,1481414942,(direct),55.99,20161210
1223899180553359197,1481380913,(direct),53.94,20161210
1589619757343679069,1481426278,(direct),18.99,20161210
5505580572887892960,1481420036,(direct),220.94,20161210
292962023286659973,1481415237,(direct),59.94,20161210
7563368779850101640,1481399628,(direct),54.38,20161210
3091668257669224026,1481399560,(direct),116.97,20161210
7450862049722666646,1481393164,(direct),41.98,20161210
0544099410312340973,1481395061,(direct),158.34,20161210
1830678414845743421,1481395173,(direct),121.96,20161210
